CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
B,C,C,B,C,C,B,B,D,A,C,A,C,C,B,D,A,C,A,A,A,A,A,D,A,A,C,E,A,B,B,D,E,A,5,5,5,6,5,6,5,5,6,5,4,6,5,4,4,5,6,6,6,6,5,4,5,5,5,6,6,6,6,5,5,6,5,5,4,4,4,5,4,5,4,3
C,C,C,B,B,B,E,C,C,A,C,A,D,F,B,B,D,B,A,A,A,B,A,A,B,A,B,K,A,C,C,C,C,F,3,4,4,4,4,5,4,5,4,5,4,4,4,4,5,5,6,6,6,6,5,5,5,4,4,4,5,4,5,5,5,6,5,5,5,5,5,5,4,4,4,4
C,C,C,B,B,B,A,C,D,A,A,A,E,F,B,B,B,D,E,A,A,B,A,A,B,A,A,H,A,A,C,A,E,A,4,5,3,4,2,4,3,2,3,4,2,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,3,4,5,3,4,4,4,4,4,5,4,3,5
C,C,B,A,A,A,A,C,E,A,C,A,C,B,A,A,B,B,A,A,A,D,A,D,A,A,B,E,B,B,E,A,A,A,5,5,6,5,5,6,6,6,5,5,5,5,5,4,5,6,5,6,5,8,5,4,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,3,4,5,4,3
.,.,.,.,.,.,.,.,.,A,B,A,C,B,B,E,B,C,A,H,A,C,A,D,A,B,B,C,A,A,E,C,D,A,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,6,5,6,5,6,5,6,5,5,5
C,D,C,A,A,A,E,D,C,A,A,A,E,E,B,E,C,C,A,A,A,B,A,A,B,A,B,G,A,E,E,E,C,F,6,4,4,5,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,2,6,6,6,6,6,6,6,5,6,6,6,6,5,6,5,5,5,3,1,5,2,5
C,C,C,B,A,B,B,D,D,A,C,A,B,E,B,D,C,C,A,A,A,B,A,A,A,A,A,A,A,B,B,E,C,F,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,5
C,D,A,C,C,D,B,D,B,A,B,A,D,C,B,C,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,C,E,A,1,1,1,6,3,3,1,1,3,4,1,1,1,1,1,6,1,1,1,1,3,2,1,5,4,1,1,6,4,4,2,6,5,4,1,1,1,1,1,1,3,1
B,C,B,B,B,B,D,D,E,A,C,A,C,D,B,D,C,C,B,A,A,A,A,D,A,A,C,E,A,C,E,C,C,F,6,3,1,2,3,4,6,4,5,5,3,4,5,2,4,6,2,6,4,3,5,5,6,5,1,1,5,4,4,5,5,6,6,6,6,5,5,5,1,3,2,5
.,.,.,.,.,.,.,.,.,A,C,A,A,B,E,A,A,A,B,A,D,A,A,E,A,A,D,G,A,A,E,E,A,A,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,7,5,6,6,5,5,5,6,6,6,5,5,5,5,5,6,6,5
