CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3
5,10002,10028,4004,PI,2,22,F,2009,2010,1,1,0,38.8,29.5,37.5,17.5,35.0,55.0,30.0,0.0,0.0,0.0,41.9,38.1,63.3,70.0,30.0,90.0
5,10002,10028,4004,PI,2,21,M,2010,2011,1,1,0,49.1,67.3,62.5,74.5,79.0,75.0,80.0,70.0,90.0,65.0,43.0,42.9,43.3,10.0,60.0,60.0
5,10002,10028,4004,PI,2,23,M,2010,2011,1,1,0,62.9,84.9,87.5,81.0,96.0,80.0,100.0,66.0,70.0,65.0,55.5,57.1,46.7,20.0,40.0,80.0
5,10002,10028,4004,PI,2,24,M,2009,2009,1,1,0,51.3,67.3,62.5,74.5,94.0,70.0,100.0,55.0,75.0,50.0,46.0,47.6,36.7,0.0,30.0,80.0
5,10002,10028,4004,PI,2,22,M,2009,2010,1,0,0,51.3,64.0,75.0,47.5,95.0,75.0,100.0,0.0,0.0,0.0,47.0,47.6,43.3,80.0,50.0,0.0
5,10002,10028,4004,PI,2,30,M,2004,2008,1,1,0,37.1,50.1,62.5,31.5,63.0,75.0,60.0,0.0,0.0,0.0,32.8,33.3,30.0,0.0,50.0,40.0
5,10002,10028,4004,PI,2,24,M,2008,2008,1,1,0,54.2,41.0,50.0,27.5,55.0,55.0,55.0,0.0,0.0,0.0,58.6,61.9,40.0,0.0,40.0,80.0
5,10002,10028,4004,PI,2,24,M,2007,2009,1,1,0,36.2,29.5,37.5,17.5,0.0,0.0,0.0,35.0,55.0,30.0,38.4,38.1,40.0,80.0,20.0,20.0
5,10002,10028,4004,PI,2,26,M,2005,2010,1,1,0,58.6,78.5,87.5,65.0,75.0,75.0,75.0,55.0,95.0,45.0,52.0,52.4,50.0,0.0,70.0,80.0
5,10002,10028,4004,PI,2,24,M,2007,2008,1,1,0,60.2,75.6,75.0,76.5,72.0,80.0,70.0,81.0,65.0,85.0,55.0,57.1,43.3,60.0,30.0,40.0
6,10002,10028,4004,MG,3,30,M,2001,2012,1,1,1,74.5,68.7,62.5,78.0,79.0,75.0,80.0,77.0,65.0,80.0,76.4,81.0,50.0,0.0,70.0,80.0
6,10002,10028,4004,MG,3,25,M,2007,2008,1,1,1,71.7,83.8,100.0,59.5,94.0,70.0,100.0,25.0,65.0,15.0,67.7,66.7,73.3,60.0,100.0,60.0
6,10002,10028,4004,MG,3,25,M,2006,2009,1,1,1,53.9,77.7,87.5,63.0,92.0,60.0,100.0,34.0,50.0,30.0,46.0,42.9,63.3,60.0,50.0,80.0
6,10002,10028,4004,MG,3,25,M,2006,2008,1,1,1,53.2,96.2,100.0,90.5,88.0,80.0,90.0,93.0,65.0,100.0,38.9,38.1,43.3,70.0,0.0,60.0
6,10002,10028,4004,MG,3,27,M,2004,2009,1,1,1,48.1,61.9,62.5,61.0,84.0,60.0,90.0,38.0,70.0,30.0,43.5,42.9,46.7,60.0,0.0,80.0
6,10002,10028,4004,MG,3,24,F,2008,2009,1,1,1,52.5,73.5,87.5,52.5,38.0,30.0,40.0,67.0,75.0,65.0,45.5,42.9,60.0,40.0,60.0,80.0
6,10002,10028,4004,MG,3,27,M,2005,2010,1,1,1,34.2,55.2,50.0,63.0,63.0,75.0,60.0,63.0,75.0,60.0,27.2,23.8,46.7,0.0,100.0,40.0
6,10002,10028,4004,MG,3,24,M,2007,2009,1,1,1,59.9,60.7,62.5,58.0,81.0,45.0,90.0,35.0,55.0,30.0,59.6,61.9,46.7,40.0,60.0,40.0
6,10002,10028,4004,MG,3,23,M,2008,2010,1,1,1,68.9,81.6,100.0,54.0,46.0,70.0,40.0,62.0,70.0,60.0,64.7,66.7,53.3,50.0,50.0,60.0
6,10002,10028,4004,MG,3,22,M,2009,2010,1,1,1,71.4,56.4,50.0,66.0,55.0,55.0,55.0,77.0,65.0,80.0,76.4,81.0,50.0,0.0,90.0,60.0
6,10002,10028,4004,MG,3,27,M,2005,2010,1,1,1,62.7,79.6,75.0,86.5,77.0,85.0,75.0,96.0,80.0,100.0,57.0,57.1,56.7,80.0,20.0,70.0
6,10002,10028,4004,MG,3,23,M,2009,2010,1,1,1,59.9,73.1,87.5,51.5,54.0,70.0,50.0,49.0,65.0,45.0,55.5,57.1,46.7,0.0,60.0,80.0
6,10002,10028,4004,MG,3,28,F,2004,2009,1,1,1,54.5,82.9,87.5,76.0,75.0,75.0,75.0,77.0,65.0,80.0,45.0,47.6,30.0,0.0,0.0,90.0
6,10002,10028,4004,MG,3,26,M,2006,2010,1,1,1,63.0,82.3,87.5,74.5,80.0,80.0,80.0,69.0,65.0,70.0,56.5,57.1,53.3,0.0,100.0,60.0
6,10002,10028,4004,MG,3,26,M,2005,2009,1,1,1,56.8,65.2,75.0,50.5,33.0,65.0,25.0,68.0,80.0,65.0,54.0,57.1,36.7,30.0,0.0,80.0
6,10002,10028,4004,MG,3,26,M,2005,2006,1,1,1,47.2,81.2,75.0,90.5,93.0,65.0,100.0,88.0,40.0,100.0,35.9,38.1,23.3,0.0,30.0,40.0
6,10002,10028,4004,MG,3,21,M,2010,2012,1,1,1,72.0,97.0,100.0,92.5,90.0,90.0,90.0,95.0,75.0,100.0,63.6,61.9,73.3,70.0,90.0,60.0
6,10002,10028,4004,MG,3,25,M,2007,2009,1,1,1,58.4,60.9,62.5,58.5,51.0,55.0,50.0,66.0,70.0,65.0,57.5,57.1,60.0,50.0,50.0,80.0
6,10002,10028,4004,MG,3,22,M,2009,2010,1,1,1,49.2,46.6,50.0,41.5,33.0,65.0,25.0,50.0,70.0,45.0,50.0,52.4,36.7,70.0,0.0,40.0
6,10002,10028,4004,MG,3,22,M,2009,2010,1,1,1,58.3,74.2,75.0,73.0,95.0,75.0,100.0,51.0,55.0,50.0,53.0,57.1,30.0,40.0,50.0,0.0
6,10002,10028,4004,MG,3,22,M,2009,2010,1,1,1,67.6,80.9,87.5,71.0,77.0,65.0,80.0,65.0,65.0,65.0,63.1,61.9,70.0,40.0,90.0,80.0
6,10002,10028,4004,MG,3,24,M,2007,2009,1,1,1,65.5,72.5,87.5,50.0,87.0,75.0,90.0,13.0,65.0,0.0,63.1,61.9,70.0,60.0,70.0,80.0
6,10002,10028,4004,MG,3,25,M,2006,2008,1,1,1,54.0,74.9,87.5,56.0,72.0,60.0,75.0,40.0,80.0,30.0,47.0,42.9,70.0,80.0,50.0,80.0
6,10002,10028,4004,MG,3,26,M,2007,2009,1,1,1,63.1,64.2,75.0,48.0,96.0,80.0,100.0,0.0,0.0,0.0,62.7,66.7,40.0,20.0,40.0,60.0
6,10002,10028,4004,MG,3,27,M,2005,2008,1,1,1,55.8,56.7,62.5,48.0,59.0,55.0,60.0,37.0,65.0,30.0,55.5,57.1,46.7,60.0,20.0,60.0
6,10002,10028,4004,MG,3,26,M,2005,2009,1,1,1,54.6,63.9,62.5,66.0,53.0,65.0,50.0,79.0,75.0,80.0,51.5,57.1,20.0,0.0,0.0,60.0
6,10002,10028,4004,MG,3,23,M,2009,2010,1,1,1,77.6,87.5,87.5,87.5,79.0,75.0,80.0,96.0,80.0,100.0,74.3,76.2,63.3,60.0,90.0,40.0
6,10002,10028,4004,MG,3,28,M,2003,2008,1,1,1,51.7,59.9,62.5,56.0,73.0,65.0,75.0,39.0,75.0,30.0,49.0,52.4,30.0,0.0,50.0,40.0
6,10002,10028,4004,MG,3,24,M,2007,2011,1,1,1,54.1,47.9,37.5,63.5,72.0,60.0,75.0,55.0,35.0,60.0,56.1,61.9,23.3,20.0,50.0,0.0
6,10002,10028,4004,MG,3,27,M,2007,2010,1,1,1,60.1,69.0,75.0,60.0,43.0,55.0,40.0,77.0,65.0,80.0,57.1,61.9,30.0,0.0,30.0,60.0
6,10002,10028,4004,MG,3,27,M,2004,2010,1,1,1,58.1,64.3,62.5,67.0,70.0,50.0,75.0,64.0,60.0,65.0,56.0,57.1,50.0,60.0,30.0,60.0
6,10002,10028,4004,MG,3,22,M,2009,2011,1,1,1,62.5,63.3,62.5,64.5,65.0,85.0,60.0,64.0,80.0,60.0,62.2,66.7,36.7,10.0,60.0,40.0
6,10002,10028,4004,MG,3,28,M,2003,2009,1,1,1,60.1,69.5,62.5,80.0,91.0,55.0,100.0,69.0,85.0,65.0,57.0,57.1,56.7,60.0,30.0,80.0
6,10002,10028,4004,MG,3,26,F,2005,2011,1,1,1,48.0,40.6,25.0,64.0,65.0,65.0,65.0,63.0,75.0,60.0,50.5,47.6,66.7,40.0,100.0,60.0
