data,time1,time2,result
06/07/2003,"AtléticoPR","Corinthians",V
06/07/2003,"Fortaleza","Criciúma",D
06/07/2003,"Vitória","PontePreta",D
06/07/2003,"Santos","Coritiba",V
09/07/2003,"Cruzeiro","Fortaleza",V
09/07/2003,"Bahia","Guarani",V
09/07/2003,"SãoCaetano","AtléticoPR",E
09/07/2003,"Flamengo","Juventude",V
09/07/2003,"Internacional","Vasco",V
09/07/2003,"Goiás","Vitória",E
09/07/2003,"Coritiba","SãoPaulo",D
09/07/2003,"Paysandu","Figueirense",V
09/07/2003,"Corinthians","Santos",E
10/07/2003,"Paraná","Grêmio",V
10/07/2003,"PontePreta","Fluminense",V
10/07/2003,"Criciúma","AtléticoMG",V
12/07/2003,"AtléticoPR","Goiás",E
12/07/2003,"Fortaleza","Internacional",V
12/07/2003,"Vasco","Paysandu",D
13/07/2003,"AtléticoMG","Flamengo",V
13/07/2003,"Corinthians","Coritiba",D
13/07/2003,"Criciúma","Juventude",V
13/07/2003,"Figueirense","Paraná",V
13/07/2003,"Fluminense","SãoPaulo",D
13/07/2003,"Grêmio","Cruzeiro",D
13/07/2003,"PontePreta","Bahia",V
13/07/2003,"SãoCaetano","Guarani",D
13/07/2003,"Vitória","Santos",V
16/07/2003,"Bahia","SãoCaetano",E
16/07/2003,"Coritiba","Fluminense",V
16/07/2003,"Cruzeiro","Vasco",V
16/07/2003,"Flamengo","Fortaleza",D
16/07/2003,"Goiás","Corinthians",E
16/07/2003,"Guarani","Vitória",E
16/07/2003,"Internacional","AtléticoMG",E
16/07/2003,"Juventude","Figueirense",D
16/07/2003,"Santos","PontePreta",V
17/07/2003,"Paysandu","Grêmio",E
17/07/2003,"SãoPaulo","AtléticoPR",V
19/07/2003,"Corinthians","Guarani",V
19/07/2003,"Fluminense","Santos",D
19/07/2003,"Fortaleza","AtléticoMG",V
19/07/2003,"Internacional","Figueirense",V
20/07/2003,"Juventude","Paysandu",V
20/07/2003,"AtléticoPR","Bahia",V
20/07/2003,"Criciúma","Flamengo",V
20/07/2003,"Cruzeiro","Paraná",V
20/07/2003,"Goiás","SãoCaetano",V
20/07/2003,"PontePreta","Coritiba",E
20/07/2003,"Vasco","Grêmio",V
20/07/2003,"Vitória","SãoPaulo",D
23/07/2003,"AtléticoMG","Juventude",V
23/07/2003,"Bahia","Corinthians",E
23/07/2003,"Figueirense","Vasco",E
23/07/2003,"Guarani","AtléticoPR",V
23/07/2003,"Paraná","Fortaleza",V
23/07/2003,"Paysandu","Cruzeiro",V
23/07/2003,"Santos","Goiás",E
24/07/2003,"Coritiba","Vitória",E
24/07/2003,"Flamengo","Internacional",V
24/07/2003,"Grêmio","Criciúma",D
24/07/2003,"SãoCaetano","Fluminense",V
24/07/2003,"SãoPaulo","PontePreta",D
26/07/2003,"AtléticoPR","Paysandu",E
26/07/2003,"Goiás","AtléticoMG",E
26/07/2003,"Santos","Vasco",V
27/07/2003,"Corinthians","Grêmio",V
27/07/2003,"Criciúma","Coritiba",D
27/07/2003,"Cruzeiro","Bahia",V
27/07/2003,"Flamengo","SãoPaulo",E
27/07/2003,"Fortaleza","PontePreta",D
27/07/2003,"Guarani","Figueirense",V
27/07/2003,"Internacional","SãoCaetano",E
27/07/2003,"Juventude","Fluminense",V
27/07/2003,"Vitória","Paraná",D
30/07/2003,"AtléticoPR","Santos",D
30/07/2003,"Goiás","PontePreta",E
31/07/2003,"Paraná","Criciúma",V
02/08/2003,"Fluminense","Cruzeiro",E
02/08/2003,"Grêmio","Santos",V
02/08/2003,"SãoCaetano","Juventude",E
02/08/2003,"SãoPaulo","Internacional",D
03/08/2003,"AtléticoMG","Vitória",V
03/08/2003,"Bahia","Criciúma",E
03/08/2003,"Coritiba","Fortaleza",E
03/08/2003,"Figueirense","Goiás",D
03/08/2003,"Paraná","Corinthians",E
03/08/2003,"Paysandu","Guarani",V
03/08/2003,"PontePreta","Flamengo",E
03/08/2003,"Vasco","AtléticoPR",V
06/08/2003,"AtléticoPR","Paraná",V
06/08/2003,"Criciúma","SãoCaetano",D
06/08/2003,"Cruzeiro","SãoPaulo",E
06/08/2003,"Fortaleza","Fluminense",V
06/08/2003,"Goiás","Vasco",V
06/08/2003,"Juventude","PontePreta",E
06/08/2003,"Santos","AtléticoMG",E
06/08/2003,"Vitória","Paysandu",E
07/08/2003,"Corinthians","Figueirense",D
07/08/2003,"Flamengo","Bahia",V
07/08/2003,"Guarani","Grêmio",V
07/08/2003,"Internacional","Coritiba",V
09/08/2003,"Fluminense","Criciúma",E
09/08/2003,"Paraná","Santos",D
09/08/2003,"SãoCaetano","Cruzeiro",V
