time1,time2,r1c,r1f,r2c,r2f,result
"PontePreta","Portuguesa",0.733333,0.4,0.466667,0.333333,E
"SãoCaetano","Juventude",0.866667,0.466667,0.666667,0.0666667,V
"Vasco","Palmeiras",0.866667,0.2,0.733333,0.133333,V
"Vitória","Bahia",0.666667,0.266667,0.666667,0.0666667,V
"AtléticoPR","Paysandu",0.466667,0.333333,0.8,0,V
"Figueirense","Grêmio",0.4,0.266667,0.866667,0.466667,D
"Fluminense","Palmeiras",0.666667,0.466667,0.733333,0.333333,D
"Gama","Cruzeiro",0.4,0.2,0.6,0.333333,D
"SãoCaetano","Internacional",0.733333,0.466667,0.0666667,0.4,E
"SãoPaulo","Vasco",0.866667,0.866667,0.866667,0.2,V
"Vitória","Guarani",0.8,0.266667,0.2,0.2,V
"AtléticoMG","Coritiba",0.6,0.266667,0.666667,0.2,V
"Corinthians","Portuguesa",0.533333,0.733333,0.466667,0.333333,V
"Paraná","BotafogoRJ",0.866667,0.2,0.466667,0.266667,V
"Cruzeiro","AtléticoPR",0.6,0.333333,0.466667,0.133333,V
"Grêmio","SãoCaetano",0.733333,0.466667,0.733333,0.333333,E
"Paysandu","Fluminense",0.8,0,0.666667,0.466667,V
"Santos","PontePreta",0.466667,0.466667,0.733333,0.4,D
"Vasco","Vitória",1,0.2,0.8,0.266667,V
"BotafogoRJ","Corinthians",0.466667,0.266667,0.533333,0.666667,V
"Coritiba","Paraná",0.666667,0.2,0.866667,0,V
"Goiás","AtléticoMG",0.866667,0.666667,0.6,0.266667,V
"Guarani","Bahia",0.266667,0.2,0.666667,0.133333,E
"Juventude","Internacional",0.866667,0.0666667,0.0666667,0.333333,V
"Portuguesa","Flamengo",0.266667,0.333333,0.466667,0.4,D
"AtléticoMG","Gama",0.8,0.266667,0.4,0,V
"Bahia","Corinthians",0.733333,0.133333,0.533333,0.533333,E
"Coritiba","Figueirense",0.466667,0.2,0.4,0.266667,D
"Internacional","Cruzeiro",0.0666667,0.333333,0.6,0.466667,D
"Juventude","Paysandu",0.733333,0.0666667,0.8,0.0666667,E
"Palmeiras","Flamengo",0.733333,0.333333,0.466667,0.466667,E
"Vasco","PontePreta",1,0.2,0.733333,0.4,V
"Fluminense","Portuguesa",0.666667,0.466667,0.266667,0.333333,V
"Guarani","BotafogoRJ",0.266667,0.2,0.466667,0.0666667,V
"Paraná","Grêmio",0.866667,0,0.733333,0.533333,E
"SãoPaulo","Vitória",1,0.866667,0.8,0.266667,V
"AtléticoPR","Juventude",0.666667,0.133333,0.733333,0.0666667,V
"BotafogoRJ","SãoPaulo",0.4,0.0666667,1,1,D
"Corinthians","Vasco",0.533333,0.533333,1,0.0666667,E
"Cruzeiro","Goiás",0.6,0.466667,0.866667,0.666667,V
"Figueirense","Paraná",0.466667,0.266667,0.866667,0.0666667,E
"Flamengo","Guarani",0.466667,0.466667,0.266667,0.266667,E
"Gama","Coritiba",0.4,0,0.466667,0.2,V
"Grêmio","AtléticoMG",0.733333,0.533333,0.8,0.266667,V
"Paysandu","Internacional",0.6,0.0666667,0.0666667,0.466667,D
"PontePreta","Fluminense",0.533333,0.4,0.666667,0.666667,D
"Portuguesa","Bahia",0.266667,0.333333,0.733333,0.266667,D
"SãoCaetano","Santos",0.733333,0.333333,0.466667,0.266667,V
"Vitória","Palmeiras",0.8,0.266667,0.733333,0.266667,V
"Santos","SãoPaulo",0.6,0.266667,1,0.8,V
"Fluminense","SãoCaetano",0.666667,0.666667,0.733333,0.266667,V
"AtléticoMG","Corinthians",0.8,0.266667,0.533333,0.666667,D
"Grêmio","Juventude",0.733333,0.533333,0.733333,0.0666667,E
"SãoCaetano","Fluminense",0.733333,0.266667,0.666667,0.6,V
"Corinthians","AtléticoMG",0.533333,0.666667,0.8,0.266667,V
"Juventude","Grêmio",0.666667,0.0666667,0.733333,0.666667,D
"SãoPaulo","Santos",0.8,0.8,0.6,0.466667,D
"Santos","Grêmio",0.6,0.466667,0.733333,0.466667,V
"Fluminense","Corinthians",0.8,0.6,0.533333,0.466667,V
"Grêmio","Santos",0.733333,0.466667,0.6,0.466667,V
"Corinthians","Fluminense",0.666667,0.466667,0.8,0.4,V
"Santos","Corinthians",0.8,0.466667,0.666667,0.266667,V
"AtléticoPR","Grêmio",0.2,0,0,0,V
"Guarani","Vasco",0.2,0,0,0,V
"Corinthians","AtléticoMG",0,0,0,0.2,D
"Goiás","Paysandu",0.0666667,0,0,0.0666667,E
"Criciúma","Fluminense",0.2,0,0,0,V
"Cruzeiro","SãoCaetano",0.0666667,0,0,0.0666667,E
"Flamengo","Coritiba",0.0666667,0,0,0.0666667,E
"Fortaleza","Bahia",0.0666667,0,0,0.0666667,E
"Internacional","PontePreta",0.0666667,0,0,0.0666667,E
"Juventude","SãoPaulo",0.0666667,0,0,0.0666667,E
"Santos","Paraná",0.0666667,0,0,0.0666667,E
"Vitória","Figueirense",0.0666667,0,0,0.0666667,E
"Fluminense","Fortaleza",0.0666667,0,0.0666667,0.0666667,E
"AtléticoMG","Santos",0.0666667,0.2,0.0666667,0.0666667,E
"Grêmio","Guarani",0.2,0,0.2,0,V
"Coritiba","Internacional",0,0.0666667,0.0666667,0.2,D
"Bahia","Flamengo",0,0.0666667,0.0666667,0.2,D
"Vasco","Goiás",0.2,0,0.0666667,0,V
"Figueirense","Corinthians",0.0666667,0.0666667,0,0.0666667,E
"SãoPaulo","Cruzeiro",0,0.0666667,0.0666667,0.2,D
"Paysandu","Vitória",0,0.0666667,0.0666667,0.2,D
"PontePreta","Juventude",0.2,0.0666667,0.0666667,0,V
"Paraná","AtléticoPR",0.2,0.0666667,0.2,0,V
"SãoCaetano","Criciúma",0.2,0.0666667,0.2,0,V
"Paysandu","Santos",0.2,0.0666667,0.0666667,0.0666667,V
"Internacional","Bahia",0.266667,0.2,0,0.0666667,V
"AtléticoPR","AtléticoMG",0.2,0,0.0666667,0.4,D
"Corinthians","Paysandu",0.2,0.0666667,0.2,0.0666667,V
"Santos","Figueirense",0.266667,0.0666667,0.0666667,0.0666667,V
"Cruzeiro","PontePreta",0.266667,0.2,0.2,0.0666667,V
"Vitória","Vasco",0.266667,0.2,0.2,0,V
"Flamengo","Fluminense",0.266667,0.2,0.0666667,0,V
"Criciúma","SãoPaulo",0.266667,0,0,0.133333,E
"Fortaleza","SãoCaetano",0.133333,0.0666667,0.2,0.133333,E
"Juventude","Coritiba",0.266667,0,0,0.0666667,V
"Guarani","Paraná",0.4,0,0.2,0.0666667,V
"Goiás","Grêmio",0.133333,0,0.2,0.0666667,E
"SãoCaetano","Flamengo",0.266667,0.133333,0.266667,0.266667,E
"Vasco","Corinthians",0.266667,0,0.2,0.133333,E
"Bahia","Juventude",0.2,0.0666667,0.266667,0,V
"Grêmio","Vitória",0.4,0.0666667,0.266667,0.2,V
"Coritiba","Cruzeiro",0,0.0666667,0.266667,0.4,D
"AtléticoMG","Guarani",0.266667,0.4,0.4,0,V
"Figueirense","AtléticoPR",0.133333,0.0666667,0.2,0.0666667,E
"PontePreta","Criciúma",0.266667,0.0666667,0.266667,0.0666667,E
"Fluminense","Internacional",0.266667,0,0.266667,0.2,V
"Paraná","Goiás",0.4,0.0666667,0.133333,0,V
"SãoPaulo","Fortaleza",0.2,0.133333,0.133333,0.0666667,V
"Flamengo","Santos",0.266667,0.266667,0.266667,0.266667,D
"Bahia","AtléticoMG",0.2,0.0666667,0.266667,0.6,D
"SãoCaetano","Grêmio",0.333333,0.133333,0.4,0.133333,E
"SãoPaulo","Vasco",0.4,0.133333,0.266667,0,V
"Fluminense","Paraná",0.333333,0,0.4,0.133333,E
"Cruzeiro","Goiás",0.466667,0.4,0.133333,0,V
"Internacional","Corinthians",0.466667,0.2,0.2,0.133333,V
"PontePreta","Paysandu",0.333333,0.0666667,0.2,0.133333,E
"Fortaleza","AtléticoPR",0.333333,0.0666667,0.2,0.0666667,V
"Juventude","Vitória",0.333333,0,0.266667,0.266667,E
"Criciúma","Guarani",0.466667,0.0666667,0.4,0,V
"Coritiba","Figueirense",0.2,0.0666667,0.133333,0.0666667,V
"AtléticoMG","Coritiba",0.266667,0.6,0.2,0.266667,D
"Paraná","Bahia",0.6,0.133333,0.2,0.0666667,V
"Guarani","Cruzeiro",0.466667,0,0.466667,0.466667,E
"Vitória","Internacional",0.266667,0.266667,0.466667,0.4,D
"Grêmio","Fluminense",0.4,0.133333,0.333333,0.2,D
"Corinthians","Flamengo",0.266667,0.133333,0.266667,0.333333,E
"Vasco","SãoCaetano",0.466667,0,0.333333,0.133333,V
"Goiás","Juventude",0.333333,0,0.333333,0,V
"Paysandu","SãoPaulo",0.4,0.133333,0.4,0.133333,V
"Santos","Fortaleza",0.466667,0.266667,0.333333,0.0666667,V
"AtléticoPR","Criciúma",0.4,0.0666667,0.466667,0.0666667,V
"Figueirense","PontePreta",0.2,0.0666667,0.333333,0.133333,E
"Bahia","Grêmio",0.4,0.0666667,0.4,0.133333,V
"Cruzeiro","AtléticoPR",0.666667,0.466667,0.4,0.0666667,V
"Flamengo","Vitória",0.466667,0.333333,0.266667,0.266667,V
"Coritiba","Paraná",0.4,0.266667,0.6,0.133333,V
